Month,Charter,Years,Area,Club,Clubname,City,Membase,Memtdate,Goals,Meetday,Meetfreq,Meettime,Awards,DCPHistory,DCPReport,Clubinfo
Feb,2/1/1964,62,A 01,2090,Nanabijou,Thunder Bay,20,17,9,Tue,W1,19:00,2090,2090,2090,2090
Sep,9/1/1988,37,A 01,7124,Heart of the Harbour,Thunder Bay,13,8,6,Wed,W1,19:30,7124,7124,7124,7124
May,5/1/1994,32,A 01,9895,Westfort,Thunder Bay,10,11,6,Tue,M2,19:00,9895,9895,9895,9895
Jul,7/23/2020,5,A 01,7537789,Grand Marais,Grand Marais,9,10,6,Mon,M2,12:00,7537789,7537789,7537789,7537789
Mar,3/1/1942,84,A 02,217,Greysolon,Duluth,9,5,0,Wed,W1,7:00,217,217,217,217
Apr,4/1/1954,72,A 02,1523,Duluth,Duluth,11,11,5,Thu,W1,18:30,1523,1523,1523,1523
May,5/4/2007,19,A 02,1036446,ALLETE Power Cord,Duluth,27,32,6,Wed,W1,12:00,1036446,1036446,1036446,1036446
Jul,7/1/2022,3,A 02,7963310,North Star Evaluators,Hermantown,21,15,4,Sat,M1,8:00,7963310,7963310,7963310,7963310
Feb,2/1/1951,75,A 03,922,Paul Bunyan,Brainerd,20,11,8,Fri,W1,7:30,922,922,922,922
Feb,2/10/2003,23,A 03,5429,Riverview,Cloquet,12,9,6,Tue,W1,7:00,5429,5429,5429,5429
Sep,9/30/2005,20,A 03,793012,Mid Range,Buhl,8,8,3,Tue,M2,18:30,793012,793012,793012,793012
Mar,3/29/2016,10,A 03,5196688,FOCUS,Sandstone,22,18,5,Mon,W1,13:30,5196688,5196688,5196688,5196688
Jun,6/1/1961,65,A 04,2748,Anoka Toastmasters #2748,Coon Rapids,27,25,9,Wed,W1,19:00,2748,2748,2748,2748
Apr,4/1/1982,44,A 04,4807,Daylighters,Saint Cloud,10,8,4,Sat,W1,8:30,4807,4807,4807,4807
Jan,1/1/1996,30,A 04,6477,Real Life Speakers,Blaine,12,8,7,Sat,W1,11:00,6477,6477,6477,6477
Mar,3/30/2009,17,A 04,1311729,Elk River Area,Elk River,20,16,7,Thu,W1,12:00,1311729,1311729,1311729,1311729
Sep,9/27/2016,9,A 04,5816089,Cummins Communicators,Fridley,16,11,5,Thu,M2,12:00,5816089,5816089,5816089,5816089
Apr,4/1/1977,49,B 11,66,Simply Spoken,Shoreview,9,10,5,Wed,W1,12:00,66,66,66,66
Jun,6/1/1997,29,B 11,1554,Parliamentary Procedure,Minneapolis,11,8,2,Thu,M1,18:30,1554,1554,1554,1554
Feb,2/20/2009,17,B 11,1290704,Pain Free MCS,Fridley,19,12,1,Wed,W1,12:00,1290704,1290704,1290704,1290704
Jun,6/29/2016,10,B 11,5563008,Polaris All-Terrain Toasters,Plymouth,23,15,2,Tue,W1,12:00,5563008,5563008,5563008,5563008
Jun,6/28/2024,2,B 11,28677684,Building New Hope,New Hope,33,33,1,Tue,W2,7:30,28677684,28677684,28677684,28677684
Mar,3/1/1968,58,B 12,2140,Sunrisers,Brooklyn Center,20,13,6,Sat,W1,7:45,2140,2140,2140,2140
Aug,8/14/2003,22,B 12,588511,Granite Voices,Saint Cloud,16,10,5,Tue,M2,12:00,588511,588511,588511,588511
Jun,6/25/2007,19,B 12,1055613,Spirit of Leadership,Plymouth,12,12,2,Thu,M1,18:30,1055613,1055613,1055613,1055613
Mar,3/22/2016,10,B 12,5342839,The Leaders Club,Brooklyn Park,16,13,6,Thu,W1,18:30,5342839,5342839,5342839,5342839
Jun,6/1/1999,27,B 13,2665,AC Early Risers,Maple Grove,11,9,7,Sat,W1,8:30,2665,2665,2665,2665
Jun,6/1/1983,43,B 13,5172,Happy Talkers,Maple Grove,11,10,4,Thu,W1,18:30,5172,5172,5172,5172
Aug,8/1/1985,40,B 13,5948,NW Metro,Maple Grove,12,9,7,Mon,M2,18:00,5948,5948,5948,5948
Mar,3/3/2003,23,B 13,6393,Carlsonics,Minnetonka,10,0,1,Wed,W1,12:00,6393,6393,6393,6393
Jun,6/8/2010,16,B 13,1502891,Deliver Under Pressure,Maple Grove,17,19,3,Wed,M2,12:00,1502891,1502891,1502891,1502891
Jun,6/1/1951,75,B 14,958,Christopher,Columbia Heights,15,11,2,Mon,W1,18:00,958,958,958,958
Feb,2/1/1981,45,B 14,1428,Pacemasters,Mounds View,13,7,0,Thu,W1,12:00,1428,1428,1428,1428
Jun,6/29/2013,13,B 14,3313064,North Side,Mounds View,13,13,4,Wed,W1,7:30,3313064,3313064,3313064,3313064
Jun,6/27/2017,9,B 14,6602725,Readership,Brooklyn Center,20,20,9,Tue,M1,18:30,6602725,6602725,6602725,6602725
Jun,6/1/1940,86,C 21,167,White Bear,White Bear Lake,20,13,5,Mon,W1,18:30,167,167,167,167
Apr,4/1/1946,80,C 21,374,Wordsmiths,Saint Paul,20,13,7,Mon,W1,18:15,374,374,374,374
Jun,6/1/2008,18,C 21,1187545,Lino Lakes,Lino Lakes,11,10,5,Tue,M2,18:30,1187545,1187545,1187545,1187545
Jun,6/2/2021,5,C 21,7903656,PR Pros,Farmington,10,8,4,Wed,M2,19:00,7903656,7903656,7903656,7903656
Jan,1/1/1950,76,C 22,776,Midland 776,Roseville,8,8,0,Wed,W1,18:15,776,776,776,776
Dec,12/26/2001,24,C 22,4805,"Shock, Rhythm And Talk",ST PAUL,20,21,8,Tue,M2,12:05,4805,4805,4805,4805
Jun,6/24/2009,17,C 22,1353579,Women With A Mission,Saint Paul,16,11,5,Sat,M2,10:30,1353579,1353579,1353579,1353579
Apr,4/1/2014,12,C 22,3845032,Power Presenters,Arden Hills,12,11,3,Tue,W1,11:30,3845032,3845032,3845032,3845032
Dec,12/1/1976,49,C 23,373,Four Seasons,Roseville,14,9,5,Mon,M2,18:00,373,373,373,373
Apr,4/9/2001,25,C 23,1284,Minnesota Returned Peace Corps Volunteers,Roseville,25,25,10,Thu,M2,18:45,1284,1284,1284,1284
Jan,1/1/1955,71,C 23,1696,Metropolitan,Saint Paul,10,11,2,Thu,W1,18:30,1696,1696,1696,1696
Jan,1/19/2006,20,C 23,867276,Brave Hearts,"St. Paul, MN USA",12,10,3,Wed,W2,12:00,867276,867276,867276,867276
May,5/14/2020,6,C 23,7236689,SPAAR,Saint Paul,8,9,0,Tue,M2,13:00,7236689,7236689,7236689,7236689
Apr,4/1/1968,58,C 24,162,NextGen,Saint Paul,10,8,5,Thu,M2,18:00,162,162,162,162
Mar,3/1/1982,44,C 24,2401,Dialoggers,Saint Paul,8,10,1,Thu,W1,11:30,2401,2401,2401,2401
May,5/1/1973,53,C 24,2491,King-Webster,Arden Hills,9,4,2,Thu,M2,18:30,2491,2491,2491,2491
Feb,2/1/1999,27,C 24,6913,Freethought,Saint Paul,14,8,6,Mon,M2,18:30,6913,6913,6913,6913
Sep,9/1/1997,28,C 24,8293,Power Speakers,Saint Paul,11,8,4,Fri,M1,18:30,8293,8293,8293,8293
Dec,12/3/2014,11,C 24,4389155,Toastmaster On A STick,Saint Paul,10,14,6,Tue,W1,17:00,4389155,4389155,4389155,4389155
Dec,12/6/2001,24,D 31,4375,SRF Toastmaster,Minneapolis,12,11,0,Wed,M2,12:15,4375,4375,4375,4375
Jan,1/1/1989,37,D 31,7225,Park Place,Golden Valley,9,8,3,Mon,W1,12:05,7225,7225,7225,7225
Feb,2/1/1991,35,D 31,8067,Allianz Toasters,Minneapolis,27,21,9,Wed,M2,12:00,8067,8067,8067,8067
Feb,2/1/1997,29,D 31,8133,Eloquent Engineers,Minnetonka,12,11,7,Tue,W1,12:15,8133,8133,8133,8133
Feb,2/22/2011,15,D 31,1640675,Golden,Golden Valley,10,9,4,Thu,W1,12:00,1640675,1640675,1640675,1640675
Oct,10/1/1967,58,D 32,1789,Speakeasy,Saint Louis Park,10,6,0,Wed,M2,18:00,1789,1789,1789,1789
Sep,9/1/1955,70,D 32,1891,Pillsbury,Golden Valley,25,29,5,Tue,M2,12:00,1891,1891,1891,1891
Aug,8/1/1980,45,D 32,2312,Mills Early Risers,Golden Valley,17,18,4,Fri,W1,7:15,2312,2312,2312,2312
Mar,3/1/1986,40,D 32,6144,Whole Wheat,ST LOUIS PARK,12,15,3,Fri,W1,7:15,6144,6144,6144,6144
Jun,6/1/1989,37,D 32,7541,Words-Of-Mouth,Minnetonka,14,10,2,Tue,W1,18:30,7541,7541,7541,7541
Oct,10/1/1990,35,D 33,4953,Noontime Talkers,Hopkins,9,8,2,Wed,M2,12:00,4953,4953,4953,4953
Mar,3/1/1991,35,D 33,5290,Talk Masters,Minneapolis,9,0,0,Thu,M2,12:00,5290,5290,5290,5290
Jun,6/25/2004,22,D 33,691684,Leadership Summit,Minneapolis,11,13,3,Tue,M1,18:30,691684,691684,691684,691684
Jun,6/24/2009,17,D 33,1349520,Crosstown Talkers,Wayzata,14,16,9,Tue,W1,12:05,1349520,1349520,1349520,1349520
Apr,4/1/2011,15,D 33,1746748,PowerTalk,Minnetonka,23,21,5,Mon,M1,6:45,1746748,1746748,1746748,1746748
Aug,8/15/2011,14,D 33,1982188,Data Park Toasters,Minnetonka,13,9,2,Wed,W1,12:00,1982188,1982188,1982188,1982188
Oct,10/1/2014,11,D 33,4237696,Ah Busters,Minnetonka,8,0,0,Wed,W1,12:00,4237696,4237696,4237696,4237696
May,5/1/1978,48,D 34,2119,Tonka Talkers,Minnetonka,8,6,1,Tue,M2,19:30,2119,2119,2119,2119
Jun,6/1/1985,41,D 34,5913,Cargill Trademasters,Wayzata,17,20,5,Wed,W1,12:00,5913,5913,5913,5913
Jul,7/1/1986,39,D 34,6348,TicTalkers,Minnetonka,21,20,6,Sat,W1,9:30,6348,6348,6348,6348
Jun,6/1/1995,31,D 34,7179,Marsh Winds,Eden Prairie,10,10,9,Thu,W1,9:15,7179,7179,7179,7179
Sep,9/30/2005,20,D 34,841690,Tri-Dynamics,Minnetonka,11,11,7,Mon,W1,18:30,841690,841690,841690,841690
Jun,6/26/2015,11,D 34,4340844,Uncommon Speakers,Excelsior,18,15,1,Thu,W1,12:00,4340844,4340844,4340844,4340844
Nov,11/1/1941,84,E 41,208,King Boreas,Saint Paul,20,17,3,Sat,W1,7:45,208,208,208,208
Apr,4/1/1962,64,E 41,591,Vikings,St Paul,11,11,5,Wed,W1,18:30,591,591,591,591
Mar,3/1/1985,41,E 41,5751,Wind Chimes,Maplewood,13,13,1,Thu,W1,11:30,5751,5751,5751,5751
Jun,6/1/1989,37,E 41,7527,Public Employees,Saint Paul,20,20,7,Wed,M2,12:05,7527,7527,7527,7527
Dec,12/18/2007,18,E 41,1120826,Wilder Side,Saint Paul,8,1,0,Fri,M2,16:00,1120826,1120826,1120826,1120826
Mar,3/30/2023,3,E 41,28676066,Just Say It! LPI,West St. Paul,24,16,2,Thu,M2,12:00,28676066,28676066,28676066,28676066
Jun,6/20/2023,3,E 41,28676512,CPC,Arden Hills,21,17,2,Thu,M2,15:30,28676512,28676512,28676512,28676512
Jan,1/1/1979,47,E 42,560,Securian Toastmasters Club 560,Saint Paul,15,10,3,Tue,W1,12:00,560,560,560,560
Jun,6/1/1998,28,E 42,3852,Mutual Voices,Saint Paul,9,3,4,Thu,M2,12:05,3852,3852,3852,3852
May,5/1/1986,40,E 42,4709,Ordway Orators,Saint Paul,12,12,0,Wed,W1,12:00,4709,4709,4709,4709
Mar,3/1/1990,36,E 42,5133,Mears Park,St. Paul,10,9,1,Tue,M2,12:00,5133,5133,5133,5133
Jun,6/1/1997,29,E 42,5886,St. Paul Speakers,Saint Paul,11,8,1,Fri,W1,7:00,5886,5886,5886,5886
Feb,2/1/1993,33,E 42,9196,Saturday Morning Live,Saint Paul,21,20,7,Sat,M1,9:30,9196,9196,9196,9196
Jun,6/27/2014,12,E 42,4043570,3M Verbal Innovators,St. Paul,10,3,1,Wed,W1,16:00,4043570,4043570,4043570,4043570
Jan,1/7/2002,24,E 43,4972,Cultivated,St. Paul,8,8,4,Thu,W1,12:00,4972,4972,4972,4972
Mar,3/18/2002,24,E 43,7507,The Informers,Saint Paul,11,10,3,Thu,W1,12:00,7507,7507,7507,7507
Feb,2/7/2007,19,E 43,999440,Zaj Lus Dragonspeakers,Saint Paul,25,0,0,Tue,W1,0:00,999440,999440,999440,999440
Jan,1/7/2013,13,E 43,2933537,Centennial,Saint Paul,10,13,3,Fri,M2,11:00,2933537,2933537,2933537,2933537
May,5/1/1946,80,E 44,383,Midway,West Saint Paul,10,9,1,Thu,W1,18:00,383,383,383,383
Sep,9/1/1988,37,E 44,7110,Free Speech,Saint Paul,10,11,5,Wed,M2,12:00,7110,7110,7110,7110
Feb,2/11/2009,17,E 44,1274552,Colleen Morse Golden Rule,Saint Paul,11,5,3,Mon,M3,12:05,1274552,1274552,1274552,1274552
Jan,1/16/2019,7,E 44,6610555,Technically Speaking,Saint Paul,12,10,2,Tue,M2,11:30,6610555,6610555,6610555,6610555
Feb,2/1/2021,5,E 44,7841092,Contest Mastery,Saint Paul,18,20,10,Wed,M2,19:00,7841092,7841092,7841092,7841092
