Division,Area,ID,Name,Status,Date,Location
F,51,4043570,3M Verbal Innovators,Active,6/27/2014,Saint Paul
B,12,2665,AC Early Risers,Active,6/1/1999,Maple Grove
D,32,4237696,Ah Busters,Active,10/1/2014,Minnetonka
D,34,4687,All-American Speakers Club,Ineligible,10/1/1986,Eden Prairie
A,3,1036446,ALLETE Power Cord Toastmasters,Active,5/4/2007,Duluth
D,31,8067,Allianz Toasters,Active,2/1/1991,Minneapolis
C,21,5563008,All-Terrain Toasters,Active,6/29/2016,Wyoming
C,21,2748,Anoka Toastmasters #2748,Active,6/1/1961,Coon Rapids
E,42,867276,Brave Hearts,Low,1/19/2006,Saint Paul
B,15,5913,Cargill Trademasters Club,Active,6/1/1985,Wayzata
B,14,6393,Carlsonics Toastmasters Club,Active,3/3/2003,Minnetonka
F,52,2933537,Centennial Toastmasters Club,Active,1/7/2013,Saint Paul
C,22,958,Christopher Toastmasters Club,Active,6/1/1951,Columbia Heights
F,53,1274552,Colleen Morse Golden Rule Toastmasters,Active,2/11/2009,Saint Paul
F,52,7841092,Contest Mastery,Active,2/1/2021,Saint Paul
D,34,1349520,Crosstown Talkers,Active,6/24/2009,Hopkins
F,52,4972,Cultivated Club,Low,1/7/2002,Saint Paul
C,25,5816089,Cummins Communicators,Active,9/27/2016,Shoreview
D,33,1982188,Data Park Toasters,Active,8/15/2011,Minnetonka
B,11,4807,Daylighters Toastmasters,Low,4/1/1982,Saint Cloud
E,41,7756,Deluxe Toastmasters,Active,6/1/1990,Minneapolis
E,43,2401,Dialoggers Toastmasters Club,Active,3/1/1982,Saint Paul
A,3,1523,Duluth Club,Active,4/1/1954,Duluth
B,12,1311729,Elk River Area Toastmasters,Active,3/30/2009,Elk River
D,32,8133,Eloquent Engineers Club,Active,2/1/1997,Minnetonka
E,41,5409905,Facility Improvement Masters,Ineligible,6/2/2016,White Bear Lake
A,4,5196688,FOCUS Toastmasters,Active,3/29/2016,Sandstone
C,22,373,Four Seasons Club,Active,12/1/1976,Columbia Heights
F,53,7110,Free Speech Club,Active,9/1/1988,Saint Paul
E,44,6913,Freethought Toastmasters Club,Active,2/1/1999,Saint Paul
D,31,1640675,Golden Toastmasters,Active,2/22/2011,Golden Valley
B,11,588511,Granite Voices,Active,8/14/2003,Saint Cloud
A,4,217,Greysolon Club,Active,3/1/1942,Duluth
C,24,5172,Happy Talkers Club,Active,6/1/1983,Maple Grove
A,1,7124,Heart of the Harbour Toastmasters Club,Active,9/1/1988,Thunder Bay
F,51,208,King Boreas Club,Active,11/1/1941,Saint Paul
E,41,2491,King-Webster Club,Low,5/1/1973,Arden Hills
C,25,1505,Land O'Lakes Buttermasters Club,Low,2/1/1984,Arden Hills
D,34,691684,Leadership Summit,Active,6/25/2004,St Louis Park
C,21,1187545,Lino Lakes Toastmasters,Active,6/1/2008,Circle Pines
B,15,7179,Marsh Winds Toastmasters Club,Active,6/1/1995,Minnetonka
A,2,7537789,Meandering Mississippi Meeters Toastmasters Club,Active,7/23/2020,Pequot Lakes
F,54,5133,Mears Park Toastmasters,Low,3/1/1990,Saint Paul
E,45,1696,Metropolitan Club,Active,1/1/1955,Saint Paul
A,2,793012,Mid Range Club,Low,9/30/2005,Buhl
E,42,776,Midland 776 Club,Active,1/1/1950,Roseville
F,55,383,Midway Club,Low,5/1/1946,Saint Paul
D,31,2312,Mills Early Risers Club,Active,8/1/1980,Golden Valley
E,42,1284,MNRPCV Toastmasters Club,Active,4/9/2001,Roseville
F,53,3852,Mutual Voices Club,Active,6/1/1998,Saint Paul
A,1,2090,Nanabijou Club,Active,2/1/1964,Thunder Bay
D,34,4953,Noontime Talkers Club,Active,10/1/1990,Hopkins
A,4,7881305,North Shore Toastmasters,Active,4/21/2021,Duluth
C,22,3313064,North Side Toastmasters Club,Active,6/29/2013,Mounds View
C,23,692,Northwest Wind Club,Low,10/1/1978,Brooklyn Park
C,24,5948,NW Metro Toastmasters,Active,8/1/1985,Maple Grove
F,55,4709,Ordway Orators Club,Active,5/1/1986,Saint Paul
C,22,1428,Pacemasters Club,Active,2/1/1981,Mounds View
C,22,1290704,Pain Free MCS,Active,2/20/2009,Minneapolis
C,24,1554,Parliamentary Procedure Club,Active,6/1/1997,Minneapolis
A,2,922,Paul Bunyan Toastmasters Club,Active,2/1/1951,Brainerd
D,31,1891,Pillsbury Club,Active,9/1/1955,Golden Valley
C,25,3845032,Power Presenters,Active,4/1/2014,Arden Hills
E,44,8293,Power Speakers Toastmasters Club,Active,9/1/1997,Saint Paul
B,14,1746748,PowerTalk Toastmasters,Active,4/1/2011,Minnetonka
E,43,7903656,Promote the Possibilities,Active,6/2/2021,Roseville
F,55,7527,Public Employees Club,Active,6/1/1989,Saint Paul
C,23,6602725,Readership Toastmasters,Active,6/27/2017,Brooklyn Center
E,41,6477,Real Life Speakers,Active,1/1/1996,White Bear Lake
F,52,9033,River Park Toastmasters Club,Active,9/1/1992,Saint Paul
A,4,5429,Riverview Club,Active,2/10/2003,Cloquet
F,52,9196,Saturday Morning Live Club,Active,2/1/1993,Saint Paul
F,53,560,Securian Toastmasters Club 560,Active,1/1/1979,Saint Paul
C,25,4805,"Shock, Rhythm And Talk Toastmasters Club",Active,12/26/2001,ST PAUL
E,42,66,Simply Spoken Toastmasters,Active,4/1/1977,Roseville
E,45,7236689,SPAAR Toastmasters,Active,5/14/2020,Saint Paul
D,33,1789,Speakeasy Club,Active,10/1/1967,Saint Louis Park
E,43,4674666,Speakers for Changing Lives,Ineligible,4/29/2015,Saint Paul
B,13,1055613,Spirit of Leadership,Active,6/25/2007,Plymouth
D,32,4375,SRF Toastmaster Club,Active,12/6/2001,Minneapolis
F,53,5886,St. Paul Speakers Toastmasters Club,Active,6/1/1997,Saint Paul
D,32,3572204,Stagecoach Speakers - Metropoint,Active,10/29/2013,Minneapolis
A,1,3944592,Storytellers,Ineligible,5/7/2014,Thunder Bay
D,31,2140,Sunrisers Club,Active,3/1/1968,Crystal
D,34,5290,Talk Masters,Active,3/1/1991,Saint Louis Park
F,51,162,Tartan Club,Active,4/1/1968,Saint Paul
B,14,5756769,TCF Free Toasters,,10/31/2016,Plymouth
D,31,7225,TCO Speakos Toastmasters Club,Low,1/1/1989,Golden Valley
F,54,6610555,Technically Speaking,Active,1/16/2019,Saint Paul
F,55,7507,The Informers,Active,3/18/2002,Saint Paul
C,23,5342839,The Leaders Club Toastmasters,Active,3/22/2016,Brooklyn Park
E,43,1098,The Rat Pack Club,Low,8/1/1994,Roseville
B,13,6348,TicTalkers Toastmasters Club,Active,7/1/1986,Plymouth
F,54,3932,Toast O' The Town Toastmasters Club,,4/1/1979,Saint Paul
B,14,710622,Toast of the Towers Toastmasters Club,Ineligible,9/29/2004,Plymouth
E,43,4389155,Toastmaster On A STick,Active,12/3/2014,Saint Paul
B,15,2119,Tonka Talkers,Active,5/1/1978,Minnetonka
B,15,841690,Tri-Dynamics,Active,9/30/2005,Minnetonka
B,15,4340844,Uncommon Speakers,Active,6/26/2015,Excelsior
E,44,591,Vikings Club,Active,4/1/1962,Saint Paul
A,1,9895,Westfort Toastmasters Club,Active,5/1/1994,Slate River
E,41,167,White Bear Toastmasters,Active,6/1/1940,White Bear Lake
D,32,6144,Whole Wheat Toastmasters Club,Active,3/1/1986,Saint Louis Park
E,45,1120826,Wilder Side,Active,12/18/2007,Saint Paul
F,51,5751,Wind Chimes Toastmasters Club,Active,3/1/1985,Saint Paul
E,45,1353579,Women With A Mission,Active,6/24/2009,Saint Paul
E,44,374,Wordsmiths Toastmasters Club,Active,4/1/1946,Saint Paul
B,13,7541,Words-Of-Mouth Club,Active,6/1/1989,Plymouth
E,45,999440,Zaj Lus Dragonspeakers,Active,2/7/2007,Saint Paul
A,4,2657873,Zenith City Toastmasters,Low,8/10/2012,Duluth
