Table Topics Jeopardy,https://jeopardylabs.com/play/table-topics-jeopardy-5
Let the World Know Handbook,https://www.toastmasters.org/~/media/4961f7be4b244a12a39426d0c9193cd1.ashx
Brand Manual,https://toastmasterscdn.azureedge.net/medias/files/brand-materials/brand-items/brand-manual.pdf
Public Relations Resources,https://www.toastmasters.org/Leadership-Central/Club-Officer-Tools/Club-Officer-Roles/Public-Relations
Brand Portal,https://www.toastmasters.org/resources/brand-portal
Logo, Images, and Templates,https://www.toastmasters.org/resources/brand-portal/design-elements
Sample News Releases,https://www.toastmasters.org/leadership-central/club-officer-tools/club-officer-roles/public-relations/sample-news-releases
Video Release Form,https://toastmasterscdn.azureedge.net/medias/files/misc/sample-news-releases/video-release-pr.pdf
Photo Release Form,https://toastmasterscdn.azureedge.net/medias/files/misc/sample-news-releases/photo-release-pr.pdf
Toastmasters Media Center,https://mediacenter.toastmasters.org/
Toastmasters Media Kit,https://mediacenter.toastmasters.org/media-kit
D106 TM PR Kits,https://d106tm.org/public-relations/pr-kits-press-releases/
Video Library,https://www.toastmasters.org/resources/video-library
Background Images,https://www.toastmasters.org/resources/resource-library?t=background
Open House,https://www.toastmasters.org/resources/resource-library?t=open%20house
Social Media Management Tools,https://www.wordstream.com/blog/ws/2018/01/17/best-free-social-media-management-tools
PowerPoint Templates,https://www.toastmasters.org/resources/resource-library?rt=87f582b2-f714-4fa7-ac5b-9f36d8cf2a40&t=powerpoint
Press Release Kit,https://blog.hubspot.com/marketing/press-release-template-ht
Trademark Use Request,https://www.toastmasters.org/resources/brand-portal/trademark-use-request
District Leadership Handbook,https://www.toastmasters.org/Resources/District-Leadership-Handbook
Facebook Ad Campaign,https://toastmasterscdn.azureedge.net/medias/files/digital-ad-campaigns/2021-march-ads/477f-facebook-ad-guide/477f-facebook-ad-guide.pdf
Find Media Outlets,https://mondotimes.com/
Shorten your URLs,https://bitly.com/
Find what's happening  in social media,https://www.socialmediatoday.com/
Find what's best hashtag to use,https://best-hashtags.com/
Stock Photography,https://toastmasters.photoshelter.com/galleries
Lumen 5,https://lumen5.com/
Buffer,https://buffer.com/
Kahoots,https://kahoot.it/
Procreate,https://procreate.art/
Giphy,https://giphy.com/
Recognition,https://www.toastmasters.org/shop/recognition
Canva,https://www.canva.com/
Social Pilot,https://www.socialpilot.co/
Pic Monkey,https://www.picmonkey.com/
Agora Pulse,https://www.agorapulse.com/
FreeToastHost,https://www.toastmasters.org/resources/brand-portal/club-and-district-websites
Request a FTH website,https://www.toastmastersclubs.org/welcome/?Yor2
Mobile App,https://www.toastmasters.org/Membership/Club-Meeting-Roles/Mobile-App
Whova,https://whova.com/virtual-conference-platform/
Cision PR Newswire,https://www.prnewswire.com/
Prowly,https://prowly.com/
PicMonkey,https://www.picmonkey.com/
Animoto,https://animoto.com/
Descript,https://www.descript.com/tools
Riverside FM,https://riverside.fm/
StreamYard,https://streamyard.com/
Davinci Resolve,https://www.blackmagicdesign.com/products/davinciresolve
Marshalls TM Tools,http://marshalls.org/tmtools/